"","run_id_same_config_different_mode","locus_id","derived_sim_mode","allele_count_mean","allele_count_sd","allele_count_median","allele_count_min","allele_count_max","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.introgression_individuals_per_generation","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.introgression_individuals_per_generation","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","thread_n","hash_no_sim_mode","id_same_config_different_mode"
"1","2022-07-15-1.2022-07-15-2",0,"Coevolution",215.44,6.83478288573665,216,192,230,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","1","32","a04045d0854ab2cae12b9f81941da2a9",1
"2","2022-07-15-1.2022-07-15-2",0,"Neutrality",79.1566666666667,6.30491201248094,79,62,99,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","1","32","a04045d0854ab2cae12b9f81941da2a9",1
"3","2022-07-15-1.2022-07-15-2",0,"No-coevolution",90.1883333333333,5.81887412211078,90,76,106,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","1","32","a04045d0854ab2cae12b9f81941da2a9",1
"4","2022-07-15-11.2022-07-15-12",0,"Coevolution",174.758333333333,4.98912980882482,175,162,191,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","4","32","e6a67e2ff883f195aad811a2019f148f",6
"5","2022-07-15-11.2022-07-15-12",0,"Neutrality",33.3766666666667,5.15091242446999,33.5,21,47,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","4","32","e6a67e2ff883f195aad811a2019f148f",6
"6","2022-07-15-11.2022-07-15-12",0,"No-coevolution",56.3266666666667,4.51448666760784,57,45,68,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","4","32","e6a67e2ff883f195aad811a2019f148f",6
"7","2022-07-15-13.2022-07-15-14",0,"Coevolution",152.276666666667,5.24079180278029,152,140,166,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.001","10000","1","32","e4dd0cb49af8fac3af5c754c7ac2102e",7
"8","2022-07-15-13.2022-07-15-14",0,"Neutrality",34.6291666666667,5.99513141135553,35,19,53,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.001","10000","1","32","e4dd0cb49af8fac3af5c754c7ac2102e",7
"9","2022-07-15-13.2022-07-15-14",0,"No-coevolution",44.1466666666667,4.42845053931819,44,34,56,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.001","10000","1","32","e4dd0cb49af8fac3af5c754c7ac2102e",7
"10","2022-07-15-15.2022-07-15-16",0,"Coevolution",189.793333333333,8.78384209930929,191,162,209,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.001","10000","4","32","b03e74c0b68f24f8317379a48b06a3e9",8
