"run_id_same_config_different_mode";"locus_id";"derived_sim_mode";"allele_count_mean";"allele_count_sd";"allele_count_median";"hosts.mutation_rate_per_peptide";"pathogens.introgression_individuals_per_generation";"pathogens.mutation_rate_per_peptide";"pathogens.species_n";"hash_no_sim_mode";"id_same_config_different_mode"
"2022-07-15-3.2022-07-15-4";0;"no-coevolution";107,15;7,28486665196384;106;"3e-05";"500";"0.003";"4";"8e8b7ec71b643f0c028471fbaa235b12";2
"2022-07-15-31.2022-07-15-32";0;"coevolution";187,961666666667;7,1648975440628;187;"1e-05";"0";"0.001";"4";"9006e1c3ac8149214f1d3a92dcd9d959";16
"2022-07-15-31.2022-07-15-32";0;"neutrality";35,0125;4,84546962600948;34;"1e-05";"0";"0.001";"4";"9006e1c3ac8149214f1d3a92dcd9d959";16
"2022-07-15-31.2022-07-15-32";0;"no-coevolution";32,8316666666667;4,79078106306399;33;"1e-05";"0";"0.001";"4";"9006e1c3ac8149214f1d3a92dcd9d959";16
"2022-07-15-5.2022-07-15-6";0;"coevolution";205,81;9,08909159248754;206;"3e-05";"500";"0.001";"1";"c61bc297298baeae7b7d621c725c87b7";3
"2022-07-15-5.2022-07-15-6";0;"neutrality";77,3141666666667;6,96976427032331;77;"3e-05";"500";"0.001";"1";"c61bc297298baeae7b7d621c725c87b7";3
"2022-07-15-5.2022-07-15-6";0;"no-coevolution";89,3283333333333;7,98164822595519;89;"3e-05";"500";"0.001";"1";"c61bc297298baeae7b7d621c725c87b7";3
"2022-07-15-7.2022-07-15-8";0;"coevolution";293,82;9,22855407691716;294;"3e-05";"500";"0.001";"4";"8ce5f49f36521176b6f80186071cd564";4
"2022-07-15-7.2022-07-15-8";0;"neutrality";81,215;9,94624962324862;81;"3e-05";"500";"0.001";"4";"8ce5f49f36521176b6f80186071cd564";4
"2022-07-15-7.2022-07-15-8";0;"no-coevolution";108,178333333333;8,16727440301715;110;"3e-05";"500";"0.001";"4";"8ce5f49f36521176b6f80186071cd564";4
"2022-07-15-9.2022-07-15-10";0;"coevolution";145,62;4,79937391576292;146;"1e-05";"500";"0.003";"1";"b4e7e082b2f95f2c05c04b79fc21dc6c";5
"2022-07-15-9.2022-07-15-10";0;"neutrality";33,3575;3,86313304379943;33;"1e-05";"500";"0.003";"1";"b4e7e082b2f95f2c05c04b79fc21dc6c";5
"2022-07-15-9.2022-07-15-10";0;"no-coevolution";47,0433333333333;3,68294207476836;47;"1e-05";"500";"0.003";"1";"b4e7e082b2f95f2c05c04b79fc21dc6c";5
