"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.introgression_individuals_per_generation","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.introgression_individuals_per_generation","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id","hash_no_sim_mode","run_id_same_config_different_mode"
"18","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.003","10000","1","no_coevolution","32","2022-07-15-18","47fc2e58ab86b38ba730643eaba319b8","2022-07-15-17.2022-07-15-18"
"19","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.003","10000","4","default","32","2022-07-15-19","bf8f15d7402ce15762a3f62affa0af7e","2022-07-15-19.2022-07-15-20"
"20","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.003","10000","4","no_coevolution","32","2022-07-15-20","bf8f15d7402ce15762a3f62affa0af7e","2022-07-15-19.2022-07-15-20"
"21","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.001","10000","1","default","32","2022-07-15-21","c07b8907f7b4bd4231ed13cbd2d88724","2022-07-15-21.2022-07-15-22"
"22","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.001","10000","1","no_coevolution","32","2022-07-15-22","c07b8907f7b4bd4231ed13cbd2d88724","2022-07-15-21.2022-07-15-22"
"23","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.001","10000","4","default","32","2022-07-15-23","5989b4decbdc1adffb6404ba60b37446","2022-07-15-23.2022-07-15-24"
"24","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.001","10000","4","no_coevolution","32","2022-07-15-24","5989b4decbdc1adffb6404ba60b37446","2022-07-15-23.2022-07-15-24"
"25","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.003","10000","1","default","32","2022-07-15-25","951d41eec6255f5b7cc5cacb8b1e0111","2022-07-15-25.2022-07-15-26"
"26","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.003","10000","1","no_coevolution","32","2022-07-15-26","951d41eec6255f5b7cc5cacb8b1e0111","2022-07-15-25.2022-07-15-26"
"27","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.003","10000","4","default","32","2022-07-15-27","a94f132cdf033cf7a311a271b3340456","2022-07-15-27.2022-07-15-28"
"28","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.003","10000","4","no_coevolution","32","2022-07-15-28","a94f132cdf033cf7a311a271b3340456","2022-07-15-27.2022-07-15-28"
"29","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.001","10000","1","default","32","2022-07-15-29","a819cce561ea5f2aa211904f00937de9","2022-07-15-29.2022-07-15-30"
"30","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.001","10000","1","no_coevolution","32","2022-07-15-30","a819cce561ea5f2aa211904f00937de9","2022-07-15-29.2022-07-15-30"
"31","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.001","10000","4","default","32","2022-07-15-31","9006e1c3ac8149214f1d3a92dcd9d959","2022-07-15-31.2022-07-15-32"
"32","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.001","10000","4","no_coevolution","32","2022-07-15-32","9006e1c3ac8149214f1d3a92dcd9d959","2022-07-15-31.2022-07-15-32"
