"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.introgression_individuals_per_generation","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.introgression_individuals_per_generation","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id","hash_no_sim_mode","run_id_same_config_different_mode"
"11","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","default","32","2022-07-17-11","0f32896e8c71c40ad38ad177c6c0da58","2022-07-17-11.2022-07-17-12"
"12","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","no_coevolution","32","2022-07-17-12","0f32896e8c71c40ad38ad177c6c0da58","2022-07-17-11.2022-07-17-12"
"13","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","default","32","2022-07-17-13","0633b384da45317b095a9fc2e0cbf4a7","2022-07-17-13.2022-07-17-14"
"14","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","no_coevolution","32","2022-07-17-14","0633b384da45317b095a9fc2e0cbf4a7","2022-07-17-13.2022-07-17-14"
"15","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","default","32","2022-07-17-15","486b4feaeb488346ef7e1b600d373e44","2022-07-17-15.2022-07-17-16"
"16","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","no_coevolution","32","2022-07-17-16","486b4feaeb488346ef7e1b600d373e44","2022-07-17-15.2022-07-17-16"
"17","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","default","32","2022-07-17-17","35b627a7940f0d55320690727cfa4c3f","2022-07-17-17.2022-07-17-18"
"18","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","no_coevolution","32","2022-07-17-18","35b627a7940f0d55320690727cfa4c3f","2022-07-17-17.2022-07-17-18"
"19","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","default","32","2022-07-17-19","747b5f05bacfa82a98ac87f58b2f1033","2022-07-17-19.2022-07-17-20"
"20","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","no_coevolution","32","2022-07-17-20","747b5f05bacfa82a98ac87f58b2f1033","2022-07-17-19.2022-07-17-20"
"21","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","default","32","2022-07-17-21","05330eecfee3de0bcae71a7cfb957643","2022-07-17-21.2022-07-17-22"
"22","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","no_coevolution","32","2022-07-17-22","05330eecfee3de0bcae71a7cfb957643","2022-07-17-21.2022-07-17-22"
"23","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","default","32","2022-07-17-23","310e4d29eee28c67377a6bf9dd3627da","2022-07-17-23.2022-07-17-24"
"24","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","no_coevolution","32","2022-07-17-24","310e4d29eee28c67377a6bf9dd3627da","2022-07-17-23.2022-07-17-24"
"25","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","default","32","2022-07-17-25","54ff1052465751d4f023faae721d6b11","2022-07-17-25.2022-07-17-26"
"26","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","no_coevolution","32","2022-07-17-26","54ff1052465751d4f023faae721d6b11","2022-07-17-25.2022-07-17-26"
"27","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","default","32","2022-07-17-27","726a16c64db7a83939d3a4b124bae6d0","2022-07-17-27.2022-07-17-28"
"28","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","no_coevolution","32","2022-07-17-28","726a16c64db7a83939d3a4b124bae6d0","2022-07-17-27.2022-07-17-28"
"29","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","default","32","2022-07-17-29","2c35a87c2ab10804b460d8670a7c70f9","2022-07-17-29.2022-07-17-30"
"30","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","no_coevolution","32","2022-07-17-30","2c35a87c2ab10804b460d8670a7c70f9","2022-07-17-29.2022-07-17-30"
"31","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","default","32","2022-07-17-31","ba4b33b2bdf1f4763733aea28a65278a","2022-07-17-31.2022-07-17-32"
"32","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","no_coevolution","32","2022-07-17-32","ba4b33b2bdf1f4763733aea28a65278a","2022-07-17-31.2022-07-17-32"
