"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.introgression_individuals_per_generation","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.introgression_individuals_per_generation","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id","hash_no_sim_mode","run_id_same_config_different_mode"
"1","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","default","32","2022-07-17-1","420bffd5bde7b6fff234cbbe6c133c1e","2022-07-17-1.2022-07-17-2"
"2","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","no_coevolution","32","2022-07-17-2","420bffd5bde7b6fff234cbbe6c133c1e","2022-07-17-1.2022-07-17-2"
"3","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","default","32","2022-07-17-3","fa65473e2ea98716537abb4d0991c50e","2022-07-17-3.2022-07-17-4"
"4","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","no_coevolution","32","2022-07-17-4","fa65473e2ea98716537abb4d0991c50e","2022-07-17-3.2022-07-17-4"
"5","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","default","32","2022-07-17-5","981958442cc5fc8e886ab39c25489586","2022-07-17-5.2022-07-17-6"
"6","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","no_coevolution","32","2022-07-17-6","981958442cc5fc8e886ab39c25489586","2022-07-17-5.2022-07-17-6"
"7","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","default","32","2022-07-17-7","60e05549f7a1d26cb08c656234737fcd","2022-07-17-7.2022-07-17-8"
"8","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","no_coevolution","32","2022-07-17-8","60e05549f7a1d26cb08c656234737fcd","2022-07-17-7.2022-07-17-8"
"9","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","default","32","2022-07-17-9","9948a013f6e2436aa46bd192b92acdd6","2022-07-17-9.2022-07-17-10"
"10","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","no_coevolution","32","2022-07-17-10","9948a013f6e2436aa46bd192b92acdd6","2022-07-17-9.2022-07-17-10"
