"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.genes_per_chromosome_initial","hosts.initial_fitness","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.initial_fitness","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id"
"192","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"193","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"194","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"195","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"196","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"197","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"198","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"199","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"200","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"201","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"202","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"203","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"204","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"205","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"206","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
"207","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-3"
