"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.genes_per_chromosome_initial","hosts.initial_fitness","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.initial_fitness","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id"
"32","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-16-1"
"33","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.001","10000","2","default","20","run-2022-06-16-1"
"34","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","3e-04","10000","2","default","20","run-2022-06-16-1"
"35","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","1e-04","10000","2","default","20","run-2022-06-16-1"
"36","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","3e-05","10000","2","default","20","run-2022-06-16-1"
"37","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","1e-05","10000","2","default","20","run-2022-06-16-1"
"38","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-04","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-16-1"
"39","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-04","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.001","10000","2","default","20","run-2022-06-16-1"
"40","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-04","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","3e-04","10000","2","default","20","run-2022-06-16-1"
"41","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-04","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","1e-04","10000","2","default","20","run-2022-06-16-1"
"42","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","0.003","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-16-1"
"43","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","0.003","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.001","10000","2","default","20","run-2022-06-16-1"
"44","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","0.003","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","3e-04","10000","2","default","20","run-2022-06-16-1"
"45","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","0.003","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","1e-04","10000","2","default","20","run-2022-06-16-1"
"46","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","0.001","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-16-1"
"47","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","0.001","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.001","10000","2","default","20","run-2022-06-16-1"
