"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.genes_per_chromosome_initial","hosts.initial_fitness","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.initial_fitness","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id"
"176","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"177","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"178","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"179","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"180","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"181","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"182","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"183","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"184","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"185","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"186","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"187","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"188","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"189","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"190","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
"191","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","no_coevolution","32","run-2022-06-21-2"
