"run_id_same_config_different_mode";"locus_id";"derived_sim_mode";"allele_count_mean";"allele_count_sd";"allele_count_median";"hosts.mutation_rate_per_peptide";"infection.merit_threshold";"pathogens.mutation_rate_per_peptide";"pathogens.species_n";"pathogens.introgression_individuals_per_generation";"hash_no_sim_mode";"id_same_config_different_mode"
"2022-07-14-3.2022-07-14-4";0;"coevolution";13,9816666666667;3,78045194614136;14;"5e-06";"5";"5e-06";"1";"0";"c24a6a5aa2166d6ab6b478842e9dab8c";2
"2022-07-14-3.2022-07-14-4";0;"neutrality";21,0883333333333;3,33463597010225;21;"5e-06";"5";"5e-06";"1";"0";"c24a6a5aa2166d6ab6b478842e9dab8c";2
"2022-07-14-3.2022-07-14-4";0;"no-coevolution";18,415;3,47508782512335;19;"5e-06";"5";"5e-06";"1";"0";"c24a6a5aa2166d6ab6b478842e9dab8c";2
"2022-07-14-31.2022-07-14-32";0;"coevolution";49,6433333333333;6,11324314843401;50;"5e-05";"4";"1e-04";"4";"0";"03515b724533774790105517c9c3f64f";16
"2022-07-14-31.2022-07-14-32";0;"neutrality";125,321666666667;8,90454601155774;125;"5e-05";"4";"1e-04";"4";"0";"03515b724533774790105517c9c3f64f";16
"2022-07-14-31.2022-07-14-32";0;"no-coevolution";59,0633333333333;7,07644796126345;59;"5e-05";"4";"1e-04";"4";"0";"03515b724533774790105517c9c3f64f";16
"2022-07-14-33.2022-07-14-34";0;"coevolution";109,591666666667;3,89446727394157;110;"5e-06";"4";"5e-06";"1";"500";"f184cf240f67053b1502cf854e6840e2";17
"2022-07-14-33.2022-07-14-34";0;"neutrality";21,9058333333333;2,764658282393;22;"5e-06";"4";"5e-06";"1";"500";"f184cf240f67053b1502cf854e6840e2";17
"2022-07-14-33.2022-07-14-34";0;"no-coevolution";30,8916666666667;4,12127472972688;30;"5e-06";"4";"5e-06";"1";"500";"f184cf240f67053b1502cf854e6840e2";17
"2022-07-14-35.2022-07-14-36";0;"coevolution";107,391666666667;3,06058968788994;107;"5e-06";"4";"1e-06";"1";"500";"e045f4d63e29cf0634394c11ebc60082";18
"2022-07-14-35.2022-07-14-36";0;"neutrality";21,5825;3,12137462767692;22;"5e-06";"4";"1e-06";"1";"500";"e045f4d63e29cf0634394c11ebc60082";18
"2022-07-14-35.2022-07-14-36";0;"no-coevolution";34,0816666666667;3,22733481977836;34;"5e-06";"4";"1e-06";"1";"500";"e045f4d63e29cf0634394c11ebc60082";18
"2022-07-14-37.2022-07-14-38";0;"coevolution";114,951666666667;4,90367964005018;116;"5e-06";"4";"1e-05";"1";"500";"26fefcbd2dacd2e9750a9b1c38989850";19
"2022-07-14-37.2022-07-14-38";0;"neutrality";20,9291666666667;3,63434859550515;21;"5e-06";"4";"1e-05";"1";"500";"26fefcbd2dacd2e9750a9b1c38989850";19
"2022-07-14-37.2022-07-14-38";0;"no-coevolution";32,5933333333333;3,11675244422029;32;"5e-06";"4";"1e-05";"1";"500";"26fefcbd2dacd2e9750a9b1c38989850";19
"2022-07-14-39.2022-07-14-40";0;"coevolution";162,678333333333;5,67378624078011;163;"5e-06";"4";"5e-06";"4";"500";"2a40bec5f6a9e8b2bc317e41aa30f014";20
"2022-07-14-39.2022-07-14-40";0;"neutrality";21,265;3,47800547753327;21;"5e-06";"4";"5e-06";"4";"500";"2a40bec5f6a9e8b2bc317e41aa30f014";20
"2022-07-14-39.2022-07-14-40";0;"no-coevolution";43,4183333333333;4,21698575251926;43;"5e-06";"4";"5e-06";"4";"500";"2a40bec5f6a9e8b2bc317e41aa30f014";20
"2022-07-14-41.2022-07-14-42";0;"coevolution";163,46;3,82528273202996;163;"5e-06";"4";"1e-06";"4";"500";"b0e4b669915bd917b47b24d56e26dddb";21
"2022-07-14-41.2022-07-14-42";0;"neutrality";21,3116666666667;3,35020652976036;21;"5e-06";"4";"1e-06";"4";"500";"b0e4b669915bd917b47b24d56e26dddb";21
"2022-07-14-41.2022-07-14-42";0;"no-coevolution";41,4033333333333;3,16607468912491;41;"5e-06";"4";"1e-06";"4";"500";"b0e4b669915bd917b47b24d56e26dddb";21
"2022-07-14-43.2022-07-14-44";0;"coevolution";158,471666666667;4,82091962169948;158;"5e-06";"4";"1e-05";"4";"500";"709e78ebd5e54d2a91c49029fb611701";22
"2022-07-14-43.2022-07-14-44";0;"neutrality";21,0041666666667;3,16636029274546;21;"5e-06";"4";"1e-05";"4";"500";"709e78ebd5e54d2a91c49029fb611701";22
"2022-07-14-43.2022-07-14-44";0;"no-coevolution";41,6316666666667;2,64846266344994;42;"5e-06";"4";"1e-05";"4";"500";"709e78ebd5e54d2a91c49029fb611701";22
"2022-07-14-45.2022-07-14-46";0;"coevolution";242,423333333333;8,49083502103767;242;"5e-05";"4";"5e-05";"1";"500";"f06cedde4509cb5f100ae8d0bdee8a6f";23
"2022-07-14-45.2022-07-14-46";0;"neutrality";119,8975;13,0478810444375;119;"5e-05";"4";"5e-05";"1";"500";"f06cedde4509cb5f100ae8d0bdee8a6f";23
"2022-07-14-45.2022-07-14-46";0;"no-coevolution";118,596666666667;8,32182332552935;118;"5e-05";"4";"5e-05";"1";"500";"f06cedde4509cb5f100ae8d0bdee8a6f";23
"2022-07-14-47.2022-07-14-48";0;"coevolution";241,116666666667;9,65687048002624;240;"5e-05";"4";"1e-05";"1";"500";"a946345e83619240b52510d3a3358c5f";24
"2022-07-14-47.2022-07-14-48";0;"neutrality";121,789166666667;11,5292592630598;121;"5e-05";"4";"1e-05";"1";"500";"a946345e83619240b52510d3a3358c5f";24
"2022-07-14-47.2022-07-14-48";0;"no-coevolution";117,718333333333;8,47262096789801;117;"5e-05";"4";"1e-05";"1";"500";"a946345e83619240b52510d3a3358c5f";24
"2022-07-14-5.2022-07-14-6";0;"coevolution";10,6466666666667;3,14722055432803;10;"5e-06";"4";"1e-06";"1";"0";"d4ee0f0990c7c23115832400246004ef";3
"2022-07-14-5.2022-07-14-6";0;"neutrality";22,0025;3,60924959682898;21;"5e-06";"4";"1e-06";"1";"0";"d4ee0f0990c7c23115832400246004ef";3
"2022-07-14-5.2022-07-14-6";0;"no-coevolution";12,0416666666667;2,87001606428215;12;"5e-06";"4";"1e-06";"1";"0";"d4ee0f0990c7c23115832400246004ef";3
"2022-07-14-7.2022-07-14-8";0;"coevolution";13,9183333333333;2,86391350366645;14;"5e-06";"4";"1e-05";"1";"0";"5306dd6c55002a33685e3febf4c1effa";4
"2022-07-14-7.2022-07-14-8";0;"neutrality";20,61;3,69923013427415;21;"5e-06";"4";"1e-05";"1";"0";"5306dd6c55002a33685e3febf4c1effa";4
"2022-07-14-7.2022-07-14-8";0;"no-coevolution";9,58;3,22504804483372;9;"5e-06";"4";"1e-05";"1";"0";"5306dd6c55002a33685e3febf4c1effa";4
"2022-07-14-9.2022-07-14-10";0;"coevolution";12,8433333333333;2,26583588166191;13;"5e-06";"4";"5e-06";"4";"0";"88e92d5839398af51b9b7f533734cabf";5
"2022-07-14-9.2022-07-14-10";0;"neutrality";22,9633333333333;3,03639127071039;23;"5e-06";"4";"5e-06";"4";"0";"88e92d5839398af51b9b7f533734cabf";5
"2022-07-14-9.2022-07-14-10";0;"no-coevolution";8,48833333333333;1,79124113309283;8;"5e-06";"4";"5e-06";"4";"0";"88e92d5839398af51b9b7f533734cabf";5
