"","run_id_same_config_different_mode","locus_id","derived_sim_mode","allele_count_mean","allele_count_sd","allele_count_median","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","thread_n","hosts.introgression_individuals_per_generation","pathogens.introgression_individuals_per_generation","hash_no_sim_mode","id_same_config_different_mode"
"33","2022-07-14-29.2022-07-14-30",0,"No-coevolution",52.7683333333333,6.50911757267043,53,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","4","32","0","0","1d82862e5bd71b958afe8fa9bc9e023e",15
"34","2022-07-14-3.2022-07-14-4",0,"Coevolution",13.9816666666667,3.78045194614136,14,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","1","32","0","0","c24a6a5aa2166d6ab6b478842e9dab8c",2
"35","2022-07-14-3.2022-07-14-4",0,"Neutrality",21.0883333333333,3.33463597010225,21,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","1","32","0","0","c24a6a5aa2166d6ab6b478842e9dab8c",2
"36","2022-07-14-3.2022-07-14-4",0,"No-coevolution",18.415,3.47508782512335,19,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","1","32","0","0","c24a6a5aa2166d6ab6b478842e9dab8c",2
"37","2022-07-14-31.2022-07-14-32",0,"Coevolution",49.6433333333333,6.11324314843401,50,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-04","10000","4","32","0","0","03515b724533774790105517c9c3f64f",16
"38","2022-07-14-31.2022-07-14-32",0,"Neutrality",125.321666666667,8.90454601155774,125,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-04","10000","4","32","0","0","03515b724533774790105517c9c3f64f",16
"39","2022-07-14-31.2022-07-14-32",0,"No-coevolution",59.0633333333333,7.07644796126345,59,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-04","10000","4","32","0","0","03515b724533774790105517c9c3f64f",16
"40","2022-07-14-33.2022-07-14-34",0,"Coevolution",109.591666666667,3.89446727394157,110,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","1","32","0","500","f184cf240f67053b1502cf854e6840e2",17
"41","2022-07-14-33.2022-07-14-34",0,"Neutrality",21.9058333333333,2.764658282393,22,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","1","32","0","500","f184cf240f67053b1502cf854e6840e2",17
"42","2022-07-14-33.2022-07-14-34",0,"No-coevolution",30.8916666666667,4.12127472972688,30,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","1","32","0","500","f184cf240f67053b1502cf854e6840e2",17
