"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id","hosts.introgression_individuals_per_generation","pathogens.introgression_individuals_per_generation","hash_no_sim_mode","run_id_same_config_different_mode"
"18","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","1","no_coevolution","32","2022-07-14-18","0","0","fb0946a8269843a171fd018e51fd3dc1","2022-07-14-17.2022-07-14-18"
"19","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","1","default","32","2022-07-14-19","0","0","89432a50c9e35b94abb2742ec280cec3","2022-07-14-19.2022-07-14-20"
"20","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","1","no_coevolution","32","2022-07-14-20","0","0","89432a50c9e35b94abb2742ec280cec3","2022-07-14-19.2022-07-14-20"
"21","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","default","32","2022-07-14-21","0","0","7fc39502881a4e3d2df0969a627b131f","2022-07-14-21.2022-07-14-22"
"22","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","no_coevolution","32","2022-07-14-22","0","0","7fc39502881a4e3d2df0969a627b131f","2022-07-14-21.2022-07-14-22"
"23","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-04","10000","1","default","32","2022-07-14-23","0","0","c521d3808942eeaf67347c04e757d3c0","2022-07-14-23.2022-07-14-24"
"24","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-04","10000","1","no_coevolution","32","2022-07-14-24","0","0","c521d3808942eeaf67347c04e757d3c0","2022-07-14-23.2022-07-14-24"
"25","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","4","default","32","2022-07-14-25","0","0","e3564de86c017289b04a6e1dc04d7ef3","2022-07-14-25.2022-07-14-26"
"26","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","4","no_coevolution","32","2022-07-14-26","0","0","e3564de86c017289b04a6e1dc04d7ef3","2022-07-14-25.2022-07-14-26"
"27","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","4","default","32","2022-07-14-27","0","0","f39361587ab62577d8405299960d6515","2022-07-14-27.2022-07-14-28"
"28","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-05","10000","4","no_coevolution","32","2022-07-14-28","0","0","f39361587ab62577d8405299960d6515","2022-07-14-27.2022-07-14-28"
"29","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","4","default","32","2022-07-14-29","0","0","1d82862e5bd71b958afe8fa9bc9e023e","2022-07-14-29.2022-07-14-30"
"30","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","4","no_coevolution","32","2022-07-14-30","0","0","1d82862e5bd71b958afe8fa9bc9e023e","2022-07-14-29.2022-07-14-30"
"31","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-04","10000","4","default","32","2022-07-14-31","0","0","03515b724533774790105517c9c3f64f","2022-07-14-31.2022-07-14-32"
"32","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-04","10000","4","no_coevolution","32","2022-07-14-32","0","0","03515b724533774790105517c9c3f64f","2022-07-14-31.2022-07-14-32"
"33","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","1","default","32","2022-07-14-33","0","500","f184cf240f67053b1502cf854e6840e2","2022-07-14-33.2022-07-14-34"
"34","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","1","no_coevolution","32","2022-07-14-34","0","500","f184cf240f67053b1502cf854e6840e2","2022-07-14-33.2022-07-14-34"
"35","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","1","default","32","2022-07-14-35","0","500","e045f4d63e29cf0634394c11ebc60082","2022-07-14-35.2022-07-14-36"
