"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.genes_per_chromosome_initial","hosts.initial_fitness","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.initial_fitness","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id"
"256","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"257","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"258","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"259","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"260","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"261","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"262","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"263","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"264","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"265","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"266","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"267","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"268","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"269","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"270","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
"271","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","20000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","20000","1","default","32","run-2022-06-22-2"
