"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.genes_per_chromosome_initial","hosts.initial_fitness","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.initial_fitness","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id"
"80","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","5000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","5000","1","default","20","run-2022-06-17-1"
"81","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","20","run-2022-06-17-1"
"82","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","50000","1","default","20","run-2022-06-17-1"
"83","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","1e+05","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","1e+05","1","default","20","run-2022-06-17-1"
"84","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","5000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","5000","2","default","20","run-2022-06-17-1"
"85","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-17-1"
"86","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","50000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","50000","2","default","20","run-2022-06-17-1"
"87","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","1e+05","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","1e+05","2","default","20","run-2022-06-17-1"
"88","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","5000","2","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","5000","1","default","20","run-2022-06-17-1"
"89","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","20","run-2022-06-17-1"
"90","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","50000","2","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","50000","1","default","20","run-2022-06-17-1"
"91","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","1e+05","2","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","1e+05","1","default","20","run-2022-06-17-1"
"92","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","5000","2","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","5000","2","default","20","run-2022-06-17-1"
"93","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-17-1"
"94","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","50000","2","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","50000","2","default","20","run-2022-06-17-1"
"95","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","1e+05","2","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","1e+05","2","default","20","run-2022-06-17-1"
