"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.genes_per_chromosome_initial","hosts.initial_fitness","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.initial_fitness","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id"
"368","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"369","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"370","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"371","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"372","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"373","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"374","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"375","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"376","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"377","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"378","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"379","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"380","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"381","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"382","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
"383","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-4"
