"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.genes_per_chromosome_initial","hosts.initial_fitness","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.initial_fitness","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id"
"352","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"353","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"354","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"355","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"356","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"357","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"358","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"359","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"360","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"361","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"362","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"363","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"364","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"365","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"366","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
"367","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","1e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-3"
